param_id,median_cagr,median_mdd,median_calmar,worst_cagr,mean_turnover,n_windows
015bc3cbf7,0.332438796559655,-0.24169500019699258,1.5139969504662703,0.22240095331977172,0.011832737882772103,2
66ba1dad1b,0.332438796559655,-0.24169500019699258,1.5139969504662703,0.22240095331977172,0.011832737882772103,2
05a6c3169a,0.3312697703118317,-0.24169500019699258,1.508044282220667,0.22240095331977172,0.01215243097740126,2
b575492fd8,0.3312697703118317,-0.24169500019699258,1.508044282220667,0.22240095331977172,0.01215243097740126,2
de54c90103,0.3515068913365468,-0.2397932004170244,1.499515395111242,0.26801612083153703,0.010871611908137969,2
fb2d2f274b,0.3504348387112376,-0.2397932004170244,1.4946904623064285,0.26801612083153703,0.011510998097396282,2
b0bcb93fe0,0.35034392627633515,-0.2397932004170244,1.494281297327797,0.26801612083153703,0.011191305002767125,2
28bf494974,0.33671694699242094,-0.2458933635654787,1.4886964785047934,0.22240095331977172,0.011832737882772103,2
354b5f9e59,0.3490565173076089,-0.2397932004170244,1.488487121165384,0.26801612083153703,0.010871611908137969,2
096a81e705,0.3608487060138289,-0.25867603968927844,1.4846897448728114,0.2505013551176445,0.010871611908137969,2
f37130cf69,0.3479881259146216,-0.2397932004170244,1.4836786662829398,0.26801612083153703,0.011510998097396282,2
1529647a52,0.3478975239603217,-0.2397932004170244,1.4832708986685883,0.26801612083153703,0.011191305002767125,2
f6f9a7026d,0.3355409864622525,-0.2458933635654787,1.4829540255017126,0.22240095331977172,0.01215243097740126,2
7c6ac8eb47,0.34778427400185175,-0.2397932004170243,1.4827612003320847,0.26801612083153703,0.010871611908137969,2
064663839e,0.34727601849005385,-0.2397932004170244,1.4804737205627079,0.26801612083153703,0.010871611908137969,2
7957d4f041,0.34727601849005385,-0.2397932004170244,1.4804737205627079,0.26801612083153703,0.010871611908137969,2
9853ba2c9e,0.3597496104284532,-0.25867603968927844,1.4797431011910465,0.2505013551176445,0.011510998097396282,2
e912407667,0.35965640469069526,-0.25867603968927844,1.4793236148607225,0.2505013551176445,0.011191305002767125,2
c3c52957b9,0.34671778353429783,-0.2397932004170243,1.477961300848197,0.26801612083153703,0.011510998097396282,2
73bcada6a0,0.34662734278268104,-0.2397932004170243,1.4775542587505743,0.26801612083153703,0.011191305002767125,2
4faf1688ea,0.3462102874337105,-0.2397932004170244,1.4756772389222879,0.26801612083153703,0.011510998097396282,2
dc8dadcdd1,0.3462102874337105,-0.2397932004170244,1.4756772389222879,0.26801612083153703,0.011510998097396282,2
3eaf103d35,0.3461199110818448,-0.2397932004170244,1.4752704866653539,0.26801612083153703,0.011191305002767125,2
eb663c71ae,0.3461199110818448,-0.2397932004170244,1.4752704866653539,0.26801612083153703,0.011191305002767125,2
a74a4724fc,0.32546389051800106,-0.2506337633884732,1.472878556009393,0.20350796953747352,0.011832737882772103,2
8cff0015be,0.32546389051800106,-0.2506337633884732,1.472878556009393,0.20350796953747352,0.011832737882772103,2
44d77de534,0.3311555399978041,-0.2450591857783304,1.4703613611292834,0.22240095331977172,0.011832737882772103,2
853d65e25c,0.3311555399978041,-0.2450591857783304,1.4703613611292834,0.22240095331977172,0.011832737882772103,2
175092def1,0.344840093573081,-0.2397932004170244,1.4695104770012495,0.26801612083153703,0.010871611908137969,2
fe13f6b471,0.344840093573081,-0.2397932004170244,1.4695104770012495,0.26801612083153703,0.010871611908137969,2
