param_id,window_id,test_start,test_end,cagr,mdd,calmar,turnover
7957d4f041,0,2005-01-01,2007-12-31,0.26801612083153703,-0.25739623390786315,1.0412589056274824,0.003201024327784891
7957d4f041,1,2011-01-01,2013-12-31,0.42653591614857067,-0.22219016692618565,1.9196885354979334,0.01854219948849105
6b07507a97,0,2005-01-01,2007-12-31,0.16352653480689905,-0.3746813769036531,0.43644158713804676,0.0038412291933418692
6b07507a97,1,2011-01-01,2013-12-31,0.37739027853845575,-0.34336771834512214,1.0990849121091144,0.023017902813299233
064663839e,0,2005-01-01,2007-12-31,0.26801612083153703,-0.25739623390786315,1.0412589056274824,0.003201024327784891
064663839e,1,2011-01-01,2013-12-31,0.42653591614857067,-0.22219016692618565,1.9196885354979334,0.01854219948849105
4c9055b082,0,2005-01-01,2007-12-31,0.12688551903906653,-0.4410268556716218,0.28770474497712334,0.0038412291933418692
4c9055b082,1,2011-01-01,2013-12-31,0.44688516307161796,-0.34336771834512214,1.3014769274916214,0.023017902813299233
096a81e705,0,2005-01-01,2007-12-31,0.2505013551176445,-0.295161912452371,0.8486913268596835,0.003201024327784891
096a81e705,1,2011-01-01,2013-12-31,0.4711960569100133,-0.22219016692618587,2.1206881628859393,0.01854219948849105
c430485783,0,2005-01-01,2007-12-31,0.12688551903906653,-0.4410268556716218,0.28770474497712334,0.0038412291933418692
c430485783,1,2011-01-01,2013-12-31,0.44444434130383437,-0.34336771834512203,1.294368449794454,0.023017902813299233
5bbc22c59a,0,2005-01-01,2007-12-31,0.2505013551176445,-0.295161912452371,0.8486913268596835,0.003201024327784891
5bbc22c59a,1,2011-01-01,2013-12-31,0.4625208602674509,-0.22219016692618543,2.0816441459405652,0.01854219948849105
25287521f0,0,2005-01-01,2007-12-31,0.12688551903906653,-0.4410268556716218,0.28770474497712334,0.0038412291933418692
25287521f0,1,2011-01-01,2013-12-31,0.44444434130383437,-0.34336771834512203,1.294368449794454,0.023017902813299233
9833df3ea0,0,2005-01-01,2007-12-31,0.2505013551176445,-0.295161912452371,0.8486913268596835,0.003201024327784891
9833df3ea0,1,2011-01-01,2013-12-31,0.4625208602674509,-0.22219016692618543,2.0816441459405652,0.01854219948849105
2d7f29a63d,0,2005-01-01,2007-12-31,0.13052965734441124,-0.4366530309043972,0.2989322141519498,0.006402048655569782
2d7f29a63d,1,2011-01-01,2013-12-31,0.4165522275778839,-0.2869136451369042,1.4518383305859195,0.020460358056265986
e1e201dd64,0,2005-01-01,2007-12-31,0.22240095331977172,-0.2870030694262108,0.7749079261222033,0.006402048655569782
e1e201dd64,1,2011-01-01,2013-12-31,0.4484512038227624,-0.2114417260112147,2.1209210323934684,0.017263427109974423
