param_id,window_id,test_start,test_end,cagr,mdd,calmar,turnover
577e81b22a,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
577e81b22a,1,2007-01-01,2009-12-31,0.20140549336624924,-0.214335291469261,0.9396748990127644,0.006377551020408163
577e81b22a,2,2009-01-01,2011-12-31,0.10312136884003453,-0.30008446852148474,0.3436411399367425,0.01918158567774936
577e81b22a,3,2011-01-01,2013-12-31,0.3894112475929865,-0.22219016692618598,1.7526034251657645,0.023657289002557546
577e81b22a,4,2013-01-01,2015-12-31,0.6982194540991755,-0.3571585431379146,1.9549286094762748,0.0210727969348659
c02271a9e1,0,2005-01-01,2007-12-31,0.19281478788196083,-0.2951619124523711,0.6532509099156703,0.003201024327784891
c02271a9e1,1,2007-01-01,2009-12-31,0.14830443166386775,-0.2629405267955168,0.5640227220629284,0.006377551020408163
c02271a9e1,2,2009-01-01,2011-12-31,0.09428463975823598,-0.36703681674425315,0.2568806055876743,0.01918158567774936
c02271a9e1,3,2011-01-01,2013-12-31,0.4078497493233404,-0.22219016692618587,1.8355886534746282,0.023657289002557546
c02271a9e1,4,2013-01-01,2015-12-31,0.6719748998444255,-0.3571585431379145,1.8814470849293017,0.0210727969348659
28a980aed1,0,2005-01-01,2007-12-31,0.26801612083153703,-0.25739623390786315,1.0412589056274824,0.003201024327784891
28a980aed1,1,2007-01-01,2009-12-31,0.1096542930085358,-0.3403289257608514,0.32220092007574375,0.008290816326530613
28a980aed1,2,2009-01-01,2011-12-31,0.04874829818590709,-0.4396283771901218,0.1108852401600668,0.01918158567774936
28a980aed1,3,2011-01-01,2013-12-31,0.41953988348823046,-0.22219016692618565,1.8882018466083013,0.019820971867007674
28a980aed1,4,2013-01-01,2015-12-31,0.8093845657559091,-0.23158284667699436,3.495010867038945,0.015964240102171137
d8e1947a30,0,2005-01-01,2007-12-31,0.2505013551176445,-0.295161912452371,0.8486913268596835,0.003201024327784891
d8e1947a30,1,2007-01-01,2009-12-31,0.06060855332554271,-0.3811395507681523,0.15901932298390878,0.008290816326530613
d8e1947a30,2,2009-01-01,2011-12-31,0.05622844702408658,-0.49323226842721224,0.11399993598023156,0.01918158567774936
d8e1947a30,3,2011-01-01,2013-12-31,0.46033563116288634,-0.22219016692618543,2.0718091962900234,0.019820971867007674
d8e1947a30,4,2013-01-01,2015-12-31,0.7814220481383733,-0.23158284667699602,3.3742656649707503,0.015964240102171137
68b4309677,0,2005-01-01,2007-12-31,0.20952158429151324,-0.2573962339078635,0.8140040788883988,0.003201024327784891
68b4309677,1,2007-01-01,2009-12-31,0.20140549336624924,-0.214335291469261,0.9396748990127644,0.006377551020408163
68b4309677,2,2009-01-01,2011-12-31,0.1637595746233973,-0.23717610258526145,0.6904556270146486,0.019820971867007674
68b4309677,3,2011-01-01,2013-12-31,0.385362531677111,-0.23011883635240293,1.6746240237673051,0.023657289002557546
68b4309677,4,2013-01-01,2015-12-31,0.6942595808908536,-0.35715854313791495,1.9438414514496685,0.020434227330779056
e7533dedd3,0,2005-01-01,2007-12-31,0.19281478788196083,-0.2951619124523711,0.6532509099156703,0.003201024327784891
e7533dedd3,1,2007-01-01,2009-12-31,0.14830443166386775,-0.2629405267955168,0.5640227220629284,0.006377551020408163
e7533dedd3,2,2009-01-01,2011-12-31,0.07722194337981003,-0.3971643370193202,0.1944332262039266,0.019820971867007674
e7533dedd3,3,2011-01-01,2013-12-31,0.40374730399110237,-0.23011883635240316,1.7545165375893228,0.023657289002557546
e7533dedd3,4,2013-01-01,2015-12-31,0.6680762231481376,-0.3571585431379134,1.8705312696108918,0.020434227330779056
4d23a2d96d,0,2005-01-01,2007-12-31,0.26801612083153703,-0.25739623390786315,1.0412589056274824,0.003201024327784891
4d23a2d96d,1,2007-01-01,2009-12-31,0.1096542930085358,-0.3403289257608514,0.32220092007574375,0.008290816326530613
4d23a2d96d,2,2009-01-01,2011-12-31,0.10639763480171327,-0.3595068552793653,0.29595439764016146,0.019820971867007674
4d23a2d96d,3,2011-01-01,2013-12-31,0.4154033733444875,-0.23011883635240393,1.8051689289282642,0.019820971867007674
4d23a2d96d,4,2013-01-01,2015-12-31,0.8051654800257386,-0.2315828466769947,3.476792394510812,0.01532567049808429
97ecce7546,0,2005-01-01,2007-12-31,0.2505013551176445,-0.295161912452371,0.8486913268596835,0.003201024327784891
97ecce7546,1,2007-01-01,2009-12-31,0.06060855332554271,-0.3811395507681523,0.15901932298390878,0.008290816326530613
97ecce7546,2,2009-01-01,2011-12-31,0.03975914402645908,-0.5173531896934024,0.07685106580674884,0.019820971867007674
97ecce7546,3,2011-01-01,2013-12-31,0.45608024304604733,-0.23011883635240227,1.981933553442837,0.019820971867007674
97ecce7546,4,2013-01-01,2015-12-31,0.7772681648318862,-0.23158284667699547,3.3563287436223446,0.01532567049808429
