date,equity
2000-01-03,1.0
2000-01-04,1.0
2000-01-05,1.0
2000-01-06,1.0
2000-01-07,1.0
2000-01-10,1.0
2000-01-11,1.0
2000-01-12,1.0
2000-01-13,1.0
2000-01-14,1.0
2000-01-17,1.0
2000-01-18,1.0
2000-01-19,1.0
2000-01-20,1.0
2000-01-21,1.0
2000-01-24,1.0
2000-01-25,1.0
2000-01-26,1.0
2000-01-27,1.0
2000-01-28,1.0
2000-01-31,1.0
2000-02-01,0.999434444277726
2000-02-02,0.9998920879229458
2000-02-03,1.0010984493610942
2000-02-04,1.0017610432241748
2000-02-07,1.0019796690024338
2000-02-08,1.001798835017954
2000-02-09,1.002304710832936
2000-02-10,1.0022479752524653
2000-02-11,1.0020573428861566
2000-02-14,1.0028766815075714
2000-02-15,1.0031344900272585
2000-02-16,1.0034783294866847
2000-02-17,1.0035747184950887
2000-02-18,1.0031290951675393
2000-02-21,1.0019231136308924
2000-02-22,1.0023213957506063
2000-02-23,1.0028338540655228
2000-02-24,1.0030580530924678
2000-02-25,1.0024609121139352
2000-02-28,1.0022454449836948
2000-02-29,1.0022884538058485
2000-03-01,1.0014591239481472
2000-03-02,1.0014468854807348
2000-03-03,1.001653692943183
2000-03-06,1.0017257520247538
2000-03-07,1.0010602179714607
2000-03-08,1.0009327758530884
2000-03-09,1.0005728771707458
2000-03-10,0.9998577474119261
2000-03-13,0.9990870744215409
2000-03-14,0.9991164489070509
2000-03-15,0.9987241055695797
2000-03-16,1.0000820621912603
2000-03-17,1.0002350489137122
2000-03-20,1.0004934248510442
2000-03-21,1.0005448609501355
2000-03-22,1.000212063354071
2000-03-23,1.0007977831757124
2000-03-24,1.0012082277439276
2000-03-27,1.0016698304659168
2000-03-28,1.0020143189408919
2000-03-29,1.0009631869613393
2000-03-30,1.0014031106340588
2000-03-31,1.0013408348612147
2000-04-03,1.0014365711652948
2000-04-04,1.002132502190031
2000-04-05,1.0020327317044726
2000-04-06,1.0013165069150376
2000-04-07,1.0016892458106117
2000-04-10,1.0030753192411896
2000-04-11,1.0023491702315526
2000-04-12,1.002640447350542
2000-04-13,1.002489972609913
2000-04-14,1.003351049240191
2000-04-17,1.003433647588843
2000-04-18,1.0026931999774251
2000-04-19,1.0014903915450173
2000-04-20,1.0024832257745906
2000-04-21,1.0025494369372623
2000-04-24,1.0021569980836469
2000-04-25,1.0021210613749945
2000-04-26,1.0021995299149258
2000-04-27,1.001770226346595
2000-04-28,1.0017087445392692
2000-05-01,1.0022453213196323
2000-05-02,1.0015328028262234
2000-05-03,1.0022945771598577
2000-05-04,1.001974690823726
2000-05-05,1.002210574698638
2000-05-08,1.003226472650018
2000-05-09,1.0026625278873216
2000-05-10,1.0027219271534002
2000-05-11,1.0030815191461921
2000-05-12,1.003746390499928
2000-05-15,1.0033125534042882
2000-05-16,1.004308147157734
2000-05-17,1.0031616672279626
2000-05-18,1.0033893298365868
2000-05-19,1.0027892661601472
2000-05-22,1.0027645896048256
2000-05-23,1.0033437947768054
2000-05-24,1.003258178503077
2000-05-25,1.0039812419788534
2000-05-26,1.0041853107916314
2000-05-29,1.0046728855617848
2000-05-30,1.0050820410858992
2000-05-31,1.0038189485503832
2000-06-01,1.0049284103402552
2000-06-02,1.004042739033314
2000-06-05,1.0042620870246994
2000-06-06,1.0045485564722505
2000-06-07,1.003577739092052
2000-06-08,1.0034993299462647
2000-06-09,1.0032176218593678
2000-06-12,1.0027460030082258
2000-06-13,1.0030193290502343
2000-06-14,1.0032444137791003
2000-06-15,1.003375771662043
2000-06-16,1.003587865246427
2000-06-19,1.0028094341393101
2000-06-20,1.0031508716196407
2000-06-21,1.0024817664447632
2000-06-22,1.0022945849570253
2000-06-23,1.0020251585833084
2000-06-26,1.0012275712807168
2000-06-27,1.0016692427706848
2000-06-28,1.002747592880221
2000-06-29,1.002623032755473
2000-06-30,1.003141433345255
2000-07-03,1.0027279816051964
2000-07-04,1.0031572453232194
2000-07-05,1.004281469186314
2000-07-06,1.0048401316137265
2000-07-07,1.0042473158909206
2000-07-10,1.0043925610224793
2000-07-11,1.0042442497060033
2000-07-12,1.0041507681428579
2000-07-13,1.005435627079591
2000-07-14,1.0051627936531224
2000-07-17,1.0047530420028334
2000-07-18,1.005263778076667
2000-07-19,1.0048025409449324
2000-07-20,1.0041916606306522
2000-07-21,1.0029628570343356
2000-07-24,1.0022115284159605
2000-07-25,1.001884432016365
2000-07-26,1.0015383318078992
2000-07-27,1.0019048611837247
2000-07-28,1.0020966921655985
2000-07-31,1.0031155097288327
2000-08-01,1.0035285758674515
2000-08-02,1.0034205373709078
2000-08-03,1.0035688101821114
2000-08-04,1.0050537939358264
2000-08-07,1.0052647300892152
2000-08-08,1.005864550426357
2000-08-09,1.006845549065691
2000-08-10,1.006599984208291
2000-08-11,1.007197659923752
2000-08-14,1.007581483544253
2000-08-15,1.0074621486537585
2000-08-16,1.0084856973343517
2000-08-17,1.008024608456653
2000-08-18,1.0079374904024367
2000-08-21,1.0078177962748465
2000-08-22,1.0070581671336498
2000-08-23,1.0078324368381861
2000-08-24,1.0077754911737387
2000-08-25,1.0070705798359152
2000-08-28,1.0067547379873363
2000-08-29,1.0063451044330824
2000-08-30,1.0073155021911573
2000-08-31,1.0077993005658372
2000-09-01,1.0086508710408633
2000-09-04,1.0088646236850483
2000-09-05,1.0092353343675686
2000-09-06,1.0087335161195892
2000-09-07,1.00925007726472
2000-09-08,1.009101507719539
2000-09-11,1.0094961233965898
2000-09-12,1.009491889460667
2000-09-13,1.0088930938330043
2000-09-14,1.009949905646894
2000-09-15,1.0097857493650917
2000-09-18,1.0112400250396951
2000-09-19,1.011429561618315
2000-09-20,1.0115828306857781
2000-09-21,1.0120558091900902
2000-09-22,1.01259153649991
2000-09-25,1.013119197777854
2000-09-26,1.0132407367478264
2000-09-27,1.0136726696666283
2000-09-28,1.0132975191694875
2000-09-29,1.0126257839624915
2000-10-02,1.0138501123655177
2000-10-03,1.0143120582189786
2000-10-04,1.0144578640058295
2000-10-05,1.0135947452215686
2000-10-06,1.014515510464526
2000-10-09,1.014610620791161
2000-10-10,1.0138647120145827
2000-10-11,1.0137397721530463
2000-10-12,1.0143290862847227
2000-10-13,1.0145765338453254
2000-10-16,1.0154209987484135
2000-10-17,1.0133470572700092
2000-10-18,1.0141586031551386
2000-10-19,1.0139004217101857
2000-10-20,1.0142261380239157
2000-10-23,1.0141074819238491
2000-10-24,1.0145548021406785
2000-10-25,1.015111080194981
2000-10-26,1.0159010469828655
2000-10-27,1.0161157161106031
2000-10-30,1.0166853158467082
2000-10-31,1.0170936595040925
2000-11-01,1.016767916120209
2000-11-02,1.0168329122640152
2000-11-03,1.0176755867686522
2000-11-06,1.016433676284767
2000-11-07,1.0174813063339223
2000-11-08,1.0174819077476815
2000-11-09,1.0182086620861222
2000-11-10,1.018178329209359
2000-11-13,1.0173408978038905
2000-11-14,1.0164263320814064
2000-11-15,1.0160946477127497
2000-11-16,1.01527394190214
2000-11-17,1.0158727416465412
2000-11-20,1.0149866686764777
2000-11-21,1.0138855458343639
2000-11-22,1.0145186817777365
2000-11-23,1.0144477630260813
2000-11-24,1.0138773492929205
2000-11-27,1.0135024453064938
2000-11-28,1.0134430051877616
2000-11-29,1.013451407975202
2000-11-30,1.0132544521712405
2000-12-01,1.0116725061727032
2000-12-04,1.011163318721121
2000-12-05,1.010333361979988
2000-12-06,1.0102462886471815
2000-12-07,1.01052870378215
2000-12-08,1.0105434484370446
2000-12-11,1.010427805081188
2000-12-12,1.0103579824118856
2000-12-13,1.0091835867175576
2000-12-14,1.0097312570388284
