param_id,window_id,test_start,test_end,cagr,mdd,calmar,turnover
577e81b22a,0,2005-01-01,2007-12-31,0.09282363805066995,-0.1795837555568971,0.5168821520789549,0.0038412291933418692
577e81b22a,1,2007-01-01,2009-12-31,0.07608104209155875,-0.2525845029274626,0.3012102532411015,0.009566326530612245
577e81b22a,2,2009-01-01,2011-12-31,0.28396566818218294,-0.24365396846964527,1.1654465140286019,0.015345268542199489
577e81b22a,3,2011-01-01,2013-12-31,1.3062430495857393,-0.26219545170110337,4.981943970083911,0.019820971867007674
577e81b22a,4,2013-01-01,2015-12-31,0.8061820917167066,-0.31766346662400324,2.5378495685527787,0.014687100893997445
577e81b22a,5,2015-01-01,2017-12-31,0.21879610473008038,-0.28581200065134915,0.7655245554121471,0.014066496163682864
577e81b22a,6,2017-01-01,2019-12-31,-0.0031283289528327707,-0.28489730870891306,-0.010980549332001818,0.0076726342710997444
c02271a9e1,0,2005-01-01,2007-12-31,0.1485970433566961,-0.1795837555568971,0.8274525883250974,0.0038412291933418692
c02271a9e1,1,2007-01-01,2009-12-31,0.08884248657644478,-0.29288333995419225,0.30333745371225274,0.009566326530612245
c02271a9e1,2,2009-01-01,2011-12-31,0.29199004620926483,-0.2928833399541918,0.9969500015089056,0.015345268542199489
c02271a9e1,3,2011-01-01,2013-12-31,1.2719318794263796,-0.28696465874178834,4.43236419774906,0.019820971867007674
c02271a9e1,4,2013-01-01,2015-12-31,0.7673698748226339,-0.31766346662400324,2.4156692709360805,0.014687100893997445
c02271a9e1,5,2015-01-01,2017-12-31,0.14223359456719553,-0.4087752157733351,0.3479506317380644,0.014066496163682864
c02271a9e1,6,2017-01-01,2019-12-31,0.0034485008847198184,-0.28489730870891306,0.01210436455278432,0.0076726342710997444
28a980aed1,0,2005-01-01,2007-12-31,0.13720416085828413,-0.05712766287209636,2.401711429460571,0.003201024327784891
28a980aed1,1,2007-01-01,2009-12-31,0.23653290469887467,-0.2525845029274628,0.9364505817160214,0.01211734693877551
28a980aed1,2,2009-01-01,2011-12-31,0.4972095766336595,-0.24365396846964527,2.0406381219914445,0.013427109974424553
28a980aed1,3,2011-01-01,2013-12-31,1.4250579962689303,-0.2621954517011028,5.43509808054743,0.016624040920716114
28a980aed1,4,2013-01-01,2015-12-31,0.9663523352111543,-0.24717860077608,3.909530728699999,0.011494252873563218
28a980aed1,5,2015-01-01,2017-12-31,0.3038819921741802,-0.2553073333466034,1.1902595518540482,0.010869565217391304
28a980aed1,6,2017-01-01,2019-12-31,0.07004425161063321,-0.14073071727665087,0.4977182875643205,0.007033248081841432
d8e1947a30,0,2005-01-01,2007-12-31,0.19524257288640046,-0.08548321290578909,2.283987302882228,0.003201024327784891
d8e1947a30,1,2007-01-01,2009-12-31,0.2662193594458282,-0.29288333995419147,0.9089604054893199,0.01211734693877551
d8e1947a30,2,2009-01-01,2011-12-31,0.5065666614268112,-0.2928833399541918,1.7295851020615933,0.013427109974424553
d8e1947a30,3,2011-01-01,2013-12-31,1.3889791547213113,-0.2869646587417888,4.840244651767787,0.016624040920716114
d8e1947a30,4,2013-01-01,2015-12-31,0.9240982935647535,-0.24717860077608,3.7385853413819485,0.011494252873563218
d8e1947a30,5,2015-01-01,2017-12-31,0.2219745444151906,-0.408775215773335,0.5430234902946637,0.010869565217391304
d8e1947a30,6,2017-01-01,2019-12-31,0.07710383527209119,-0.14073071727665032,0.5478820598954203,0.007033248081841432
68b4309677,0,2005-01-01,2007-12-31,0.039905577973493145,-0.21156232676909625,0.1886232704230322,0.004481434058898848
68b4309677,1,2007-01-01,2009-12-31,0.02057738198941106,-0.28971599486178135,0.07102604742008871,0.01020408163265306
